Name of the hotel,City,Budget for 1 day and night,Rating of the hotel
Plaza Gardens,Ahmedabad,7636,3.2
Royal Retreat,Ahmedabad,11558,3.1
Inn Retreat,Ahmedabad,2195,2.7
Heights Retreat,Ahmedabad,2311,2.8
Inn Suites,Jaipur,4968,2.8
Regency Residency,Jaipur,9911,3.8
Inn Retreat,Jaipur,9228,4.6
Regency Lounge,Jaipur,4629,3.5
Suites Palace,Jaipur,14320,3.2
Palace Inn,Jaipur,8826,2.9
Resort Suites,Jaipur,11645,4.0
Grand Suites,Jaipur,7042,3.7
Palace Palace,Lucknow,12012,3.6
Bay Retreat,Lucknow,3532,4.9
Heights Lounge,Lucknow,5932,4.9
Resort Suites,Lucknow,3438,3.8
Palace Oasis,Lucknow,2685,2.6
Royal Inn,Lucknow,3946,3.8
Royal Residency,Delhi,12440,4.8
Regency Retreat,Delhi,3880,4.2
Palace Gardens,Delhi,14207,3.8
Plaza Residency,Delhi,13925,4.2
Palace Palace,Delhi,13854,4.4
Suites Oasis,Delhi,2674,4.0
Resort Suites,Delhi,10191,2.8
Bay Inn,Mumbai,7999,4.2
Suites Inn,Mumbai,8418,3.3
Plaza Suites,Mumbai,9416,4.2
Resort Palace,Mumbai,11086,3.7
Royal Residency,Mumbai,11135,3.2
Grand Palace,Mumbai,14684,2.7
Heights Heights,Chennai,891,4.2
Grand Heights,Chennai,1905,3.0
Heights Oasis,Chennai,10577,3.6
Regency Gardens,Chennai,4676,4.3
Regency Vista,Chennai,13421,3.1
Resort Gardens,Chennai,1265,4.3
Plaza Lounge,Chennai,3877,3.8
Royal Heights,Kolkata,10449,4.7
Heights Residency,Kolkata,8387,2.6
Regency Oasis,Kolkata,9606,4.0
Bay Retreat,Kolkata,12214,2.6
Grand Vista,Kolkata,9661,5.0
Palace Retreat,Kolkata,6066,3.2
Inn Residency,Bengaluru,2589,3.8
Heights Gardens,Bengaluru,13477,4.0
Regency Retreat,Bengaluru,11360,4.3
Plaza Retreat,Bengaluru,9977,4.1
Heights Palace,Bengaluru,12863,3.9
Hotel Inn,Bengaluru,3963,3.4
Suites Palace,Bengaluru,9804,4.0
Grand Palace,Bengaluru,2126,4.1
Heights Suites,Bengaluru,4783,3.6
Hotel Vista,Hyderabad,6471,3.3
Inn Residency,Hyderabad,1927,3.0
Regency Palace,Hyderabad,13483,3.6
Resort Palace,Hyderabad,5124,4.0
Inn Palace,Hyderabad,5200,3.8
Royal Suites,Hyderabad,11633,3.3
Regency Residency,Hyderabad,14616,4.3
Regency Residency,Hyderabad,8483,4.2
Suites Inn,Hyderabad,4025,4.2
Grand Oasis,Pune,5175,2.5
Hotel Residency,Pune,6245,3.3
Regency Residency,Pune,11867,2.9
Bay Inn,Pune,12534,3.7
Suites Palace,Pune,12460,4.3
Plaza Lounge,Pune,5406,3.1
Grand Retreat,Pune,13238,3.1
Suites Heights,Pune,14162,4.8
Palace Vista,Pune,9594,4.6
Royal Vista,Ahmedabad,12606,3.8
Resort Gardens,Ahmedabad,10124,3.3
Plaza Heights,Ahmedabad,13716,2.8
Grand Gardens,Ahmedabad,11227,4.8
Suites Residency,Ahmedabad,2738,4.2
Resort Oasis,Ahmedabad,14457,2.7
Inn Residency,Ahmedabad,3979,2.6
Suites Inn,Ahmedabad,11070,4.0
Resort Gardens,Ahmedabad,7179,2.9
Inn Palace,Ahmedabad,6409,2.6
Bay Residency,Jaipur,14781,4.5
Plaza Suites,Jaipur,5872,4.9
Suites Inn,Jaipur,12457,2.7
Regency Lounge,Jaipur,7750,4.1
Palace Oasis,Jaipur,11677,3.0
Heights Retreat,Jaipur,10885,4.8
Resort Inn,Jaipur,12126,4.3
Bay Palace,Jaipur,2277,3.3
Plaza Gardens,Lucknow,3492,4.6
Inn Suites,Lucknow,9655,4.8
Suites Palace,Lucknow,2719,3.7
Grand Inn,Lucknow,9523,3.0
Suites Inn,Lucknow,14089,4.5
Grand Inn,Lucknow,5520,2.6
Resort Oasis,Delhi,13775,3.2
Hotel Heights,Delhi,6765,4.6
Regency Heights,Delhi,10035,4.4
Suites Inn,Delhi,13718,3.5
Plaza Lounge,Delhi,3518,3.3
Heights Retreat,Delhi,8946,3.6
Hotel Oasis,Delhi,8911,3.2
Bay Heights,Mumbai,5375,3.5
Palace Oasis,Mumbai,12922,4.4
Resort Inn,Mumbai,12825,3.0
Heights Gardens,Mumbai,3363,4.9
Royal Lounge,Mumbai,11740,4.7
Regency Heights,Mumbai,12981,4.5
Grand Lounge,Chennai,8837,2.6
Hotel Vista,Chennai,6890,3.3
Bay Lounge,Chennai,3342,3.5
Regency Palace,Chennai,4779,4.2
Regency Residency,Chennai,6300,2.8
Resort Vista,Chennai,9867,2.6
Palace Palace,Chennai,10265,3.3
Inn Lounge,Kolkata,9204,4.3
Palace Suites,Kolkata,8048,4.2
Inn Residency,Kolkata,3861,3.6
Inn Palace,Kolkata,10400,4.7
Resort Residency,Kolkata,13309,3.2
Suites Vista,Kolkata,4184,3.4
Bay Inn,Bengaluru,4764,2.5
Palace Lounge,Bengaluru,10310,4.5
Hotel Gardens,Bengaluru,7465,2.9
Plaza Retreat,Bengaluru,5084,4.9
Royal Palace,Bengaluru,2078,2.7
Heights Lounge,Bengaluru,9934,4.3
Grand Lounge,Bengaluru,11991,2.8
Hotel Retreat,Bengaluru,12151,3.3
Plaza Palace,Bengaluru,6306,3.1
Heights Vista,Hyderabad,4762,3.5
Inn Heights,Hyderabad,13168,4.2
Resort Oasis,Hyderabad,8026,4.7
Suites Vista,Hyderabad,1982,3.3
Grand Inn,Hyderabad,2835,4.7
Grand Gardens,Hyderabad,10811,4.0
Royal Heights,Hyderabad,11321,2.6
Hotel Lounge,Hyderabad,3456,4.3
Suites Inn,Hyderabad,5957,4.5
Inn Residency,Pune,13359,4.9
Royal Retreat,Pune,7247,3.8
Palace Gardens,Pune,6711,4.7
Regency Lounge,Pune,1025,2.9
Resort Residency,Pune,12750,4.6
Resort Suites,Pune,14308,4.3
Plaza Gardens,Pune,10883,3.4
Grand Residency,Pune,13908,2.6
Inn Suites,Pune,12216,4.7
Palace Inn,Ahmedabad,5648,4.0
Regency Suites,Ahmedabad,3576,4.3
Grand Retreat,Ahmedabad,5239,2.8
Hotel Suites,Ahmedabad,13268,4.1
Inn Palace,Ahmedabad,12760,2.6
Royal Retreat,Ahmedabad,5894,3.4
Resort Suites,Ahmedabad,2477,2.7
Regency Vista,Ahmedabad,11734,2.7
Hotel Vista,Ahmedabad,7709,3.4
Bay Residency,Ahmedabad,8400,3.1
Suites Oasis,Jaipur,11346,3.7
Resort Palace,Jaipur,2769,2.6
Hotel Gardens,Jaipur,14258,3.2
Suites Heights,Jaipur,2720,3.0
Palace Gardens,Jaipur,7319,3.9
Heights Inn,Jaipur,1797,4.3
Regency Vista,Jaipur,2847,2.7
Inn Lounge,Jaipur,1393,2.9
Inn Suites,Lucknow,5922,2.9
Bay Retreat,Lucknow,5590,4.4
Heights Lounge,Lucknow,12766,3.9
Heights Heights,Lucknow,920,3.2
Royal Vista,Lucknow,1734,4.6
Heights Retreat,Lucknow,10921,4.6
Bay Gardens,Delhi,7026,2.6
Inn Palace,Delhi,7926,4.5
Heights Vista,Delhi,7828,4.9
Regency Retreat,Delhi,13013,3.3
Royal Lounge,Delhi,14242,4.0
Royal Vista,Delhi,4985,3.9
Regency Retreat,Delhi,1001,4.0
Plaza Oasis,Mumbai,8047,3.6
Plaza Palace,Mumbai,12317,4.1
Bay Oasis,Mumbai,3567,5.0
Hotel Suites,Mumbai,969,4.2
Grand Retreat,Mumbai,5635,4.0
Royal Vista,Mumbai,14475,3.2
Inn Oasis,Chennai,1390,3.3
Palace Retreat,Chennai,14359,4.0
Grand Retreat,Chennai,12790,4.3
Resort Inn,Chennai,12972,3.4
Inn Retreat,Chennai,7957,3.0
Palace Lounge,Chennai,9873,4.4
Palace Residency,Chennai,9502,2.6
Inn Vista,Kolkata,3063,3.9
Inn Palace,Kolkata,4838,3.0
Grand Residency,Kolkata,12587,4.5
Plaza Suites,Kolkata,1950,2.7
Royal Gardens,Kolkata,1543,3.6
Hotel Inn,Kolkata,5620,4.2
Palace Residency,Bengaluru,8231,3.5
Grand Gardens,Bengaluru,1174,2.5
Suites Vista,Bengaluru,12619,2.9
Grand Residency,Bengaluru,9406,3.3
Inn Vista,Bengaluru,13276,4.1
Hotel Retreat,Bengaluru,2213,4.3
Hotel Lounge,Bengaluru,818,3.9
Royal Oasis,Bengaluru,14346,4.8
Palace Residency,Bengaluru,1391,4.0
Suites Lounge,Hyderabad,1158,4.2
Grand Palace,Hyderabad,5675,2.8
Royal Palace,Hyderabad,12220,3.7
Bay Palace,Hyderabad,5199,3.1
Resort Lounge,Hyderabad,2142,4.7
Regency Palace,Hyderabad,6399,3.3
Hotel Inn,Hyderabad,3959,3.5
Inn Palace,Hyderabad,9487,4.0
Palace Oasis,Hyderabad,3887,3.3
Inn Suites,Pune,12369,4.2
Suites Vista,Pune,2204,4.5
Bay Inn,Pune,1310,4.0
Suites Residency,Pune,2539,2.8
Plaza Residency,Pune,4778,3.4
Plaza Vista,Pune,13074,3.4
Heights Gardens,Pune,14128,5.0
Plaza Suites,Pune,5917,3.4
Grand Residency,Pune,1630,4.5
Regency Inn,Ahmedabad,5012,3.4
Inn Suites,Ahmedabad,11143,3.8
Palace Retreat,Ahmedabad,4506,3.4
Bay Vista,Ahmedabad,2908,3.6
Royal Oasis,Ahmedabad,6704,3.9
Inn Retreat,Ahmedabad,14129,4.4
Heights Residency,Ahmedabad,4331,4.0
Regency Lounge,Ahmedabad,5946,3.8
Bay Suites,Ahmedabad,14912,2.8
Royal Lounge,Ahmedabad,2590,3.0
Resort Retreat,Jaipur,9613,3.5
Royal Lounge,Jaipur,1866,3.0
Grand Oasis,Jaipur,10377,3.1
Suites Inn,Jaipur,13927,3.2
Hotel Lounge,Jaipur,13040,3.3
Regency Residency,Jaipur,10468,3.1
Grand Heights,Jaipur,14459,4.0
Bay Palace,Jaipur,11726,2.8
Heights Retreat,Lucknow,10405,2.5
Hotel Residency,Lucknow,5417,2.7
Palace Retreat,Lucknow,5712,3.0
Hotel Residency,Lucknow,3958,4.4
Regency Inn,Lucknow,14147,4.9
Resort Suites,Lucknow,4006,3.1
Heights Oasis,Delhi,1891,2.6
Hotel Inn,Delhi,6484,4.0
Royal Gardens,Delhi,13966,4.5
Plaza Gardens,Delhi,1147,4.3
Suites Oasis,Delhi,5511,4.4
Royal Vista,Delhi,5645,2.7
Palace Residency,Delhi,8931,4.4
Heights Palace,Mumbai,5997,2.7
Plaza Lounge,Mumbai,8447,2.6
Inn Gardens,Mumbai,12738,4.8
Bay Heights,Mumbai,9525,3.6
Heights Oasis,Mumbai,4546,3.3
Inn Retreat,Mumbai,6685,4.5
Royal Heights,Chennai,6577,3.1
Bay Heights,Chennai,2342,4.6
Plaza Oasis,Chennai,13622,3.7
Suites Inn,Chennai,9621,3.1
Royal Heights,Chennai,2131,5.0
Suites Gardens,Chennai,3776,4.2
Royal Heights,Chennai,4684,3.2
Royal Heights,Kolkata,6736,3.3
Hotel Suites,Kolkata,2289,3.5
Resort Vista,Kolkata,4470,3.7
Resort Retreat,Kolkata,5925,4.3
Resort Palace,Kolkata,10398,4.8
Grand Palace,Kolkata,4720,4.7
Hotel Suites,Bengaluru,2285,4.7
Plaza Heights,Bengaluru,3945,3.1
Grand Lounge,Bengaluru,6483,4.0
Inn Suites,Bengaluru,5211,3.4
Resort Oasis,Bengaluru,9444,3.9
Hotel Gardens,Bengaluru,13011,3.0
Hotel Lounge,Bengaluru,3953,4.7
Bay Lounge,Bengaluru,14269,3.1
Plaza Oasis,Bengaluru,10349,3.9
Hotel Suites,Hyderabad,7655,3.0
Palace Vista,Hyderabad,4522,4.3
Palace Residency,Hyderabad,14317,4.1
Bay Vista,Hyderabad,12588,4.6
Regency Residency,Hyderabad,1917,4.4
Palace Inn,Hyderabad,7213,4.7
Heights Inn,Hyderabad,8298,4.4
Bay Retreat,Hyderabad,1352,4.4
Bay Lounge,Hyderabad,10931,3.4
Regency Lounge,Pune,14371,4.3
Grand Palace,Pune,2427,5.0
Regency Residency,Pune,7574,2.7
Plaza Retreat,Pune,14815,3.0
Bay Palace,Pune,11186,2.5
Resort Suites,Pune,9350,2.6
Inn Heights,Pune,5568,4.5
Grand Residency,Pune,12937,3.8
Royal Vista,Pune,7653,2.9
Bay Gardens,Ahmedabad,13995,4.0
Grand Lounge,Ahmedabad,3027,3.8
Regency Retreat,Ahmedabad,7580,3.6
Suites Heights,Ahmedabad,2574,3.9
Grand Oasis,Ahmedabad,7221,3.7
Hotel Palace,Ahmedabad,13956,3.9
Plaza Lounge,Ahmedabad,6836,2.9
Suites Retreat,Ahmedabad,910,4.2
Grand Suites,Ahmedabad,12181,3.0
Palace Gardens,Ahmedabad,10380,4.2
Royal Residency,Jaipur,9085,4.4
Suites Inn,Jaipur,4656,4.9
Plaza Gardens,Jaipur,13419,2.5
Inn Retreat,Jaipur,9424,4.2
Resort Suites,Jaipur,5415,4.2
Resort Lounge,Jaipur,13988,3.0
Plaza Vista,Jaipur,2449,3.0
Royal Oasis,Jaipur,3349,4.8
Grand Palace,Lucknow,6260,3.4
Plaza Gardens,Lucknow,2554,3.7
Heights Vista,Lucknow,12407,4.5
Hotel Inn,Lucknow,9774,3.4
Royal Inn,Lucknow,4314,2.9
Hotel Suites,Lucknow,12175,2.5
Suites Retreat,Delhi,5983,3.9
Plaza Residency,Delhi,5650,3.1
Regency Retreat,Delhi,13722,3.9
Grand Residency,Delhi,9646,4.3
Suites Oasis,Delhi,12340,2.6
Resort Palace,Delhi,11379,3.6
Regency Vista,Delhi,10961,2.5
Plaza Retreat,Mumbai,14158,4.2
Resort Inn,Mumbai,9388,3.6
Bay Lounge,Mumbai,6787,2.7
Suites Heights,Mumbai,1088,3.8
Regency Lounge,Mumbai,12487,3.7
Heights Heights,Mumbai,7308,3.7
Plaza Heights,Chennai,6626,3.0
Plaza Gardens,Chennai,11866,2.6
Regency Palace,Chennai,4323,3.7
Plaza Retreat,Chennai,4537,4.4
Palace Suites,Chennai,6086,4.3
Grand Residency,Chennai,4688,3.1
Palace Suites,Chennai,7339,4.6
Heights Heights,Kolkata,9688,4.2
Plaza Residency,Kolkata,3106,2.9
Royal Gardens,Kolkata,7513,4.7
Palace Oasis,Kolkata,14310,4.2
Hotel Oasis,Kolkata,7644,3.7
Palace Suites,Kolkata,929,3.9
Bay Lounge,Bengaluru,10515,2.9
Regency Palace,Bengaluru,4927,2.7
Inn Residency,Bengaluru,3886,4.0
Suites Residency,Bengaluru,8607,3.7
Palace Palace,Bengaluru,7533,3.6
Heights Gardens,Bengaluru,2529,4.0
Suites Residency,Bengaluru,8047,4.0
Regency Inn,Bengaluru,11616,4.1
Inn Gardens,Bengaluru,14781,3.9
Grand Suites,Hyderabad,8140,4.9
Inn Heights,Hyderabad,4712,3.2
Resort Gardens,Hyderabad,5974,4.7
Suites Residency,Hyderabad,8223,2.6
Plaza Suites,Hyderabad,7595,4.2
Plaza Vista,Hyderabad,10712,3.5
Plaza Vista,Hyderabad,14806,5.0
Heights Inn,Hyderabad,6309,4.8
Grand Palace,Hyderabad,5018,2.6
Bay Lounge,Pune,6264,3.6
Royal Residency,Pune,4404,4.2
Bay Vista,Pune,5315,4.7
Resort Inn,Pune,2102,3.7
Plaza Retreat,Pune,5359,3.1
Grand Inn,Pune,8243,3.0
Suites Heights,Pune,11620,3.5
Royal Suites,Pune,3449,2.9
Regency Retreat,Pune,10389,4.3
Heights Lounge,Ahmedabad,12765,3.5
Royal Heights,Ahmedabad,6493,2.7
Inn Heights,Ahmedabad,7817,3.6
Palace Heights,Ahmedabad,10161,4.0
Grand Heights,Ahmedabad,8743,3.3
Grand Inn,Ahmedabad,12116,2.9
Regency Palace,Ahmedabad,7261,3.9
Suites Suites,Ahmedabad,11483,3.7
Heights Lounge,Ahmedabad,14203,4.8
Hotel Residency,Ahmedabad,3654,3.6
Bay Retreat,Jaipur,6881,3.5
Suites Residency,Jaipur,2682,4.5
Bay Heights,Jaipur,5627,5.0
Royal Oasis,Jaipur,14194,2.8
Resort Inn,Jaipur,7792,3.6
Regency Oasis,Jaipur,6872,3.9
Grand Oasis,Jaipur,13568,3.0
Plaza Palace,Jaipur,7289,3.2
Resort Vista,Lucknow,10470,4.6
Bay Residency,Lucknow,13120,3.5
Heights Palace,Lucknow,2444,3.1
Plaza Retreat,Lucknow,5015,4.6
Bay Residency,Lucknow,7590,2.9
Inn Residency,Lucknow,11381,5.0
Heights Vista,Delhi,1392,4.8
Resort Residency,Delhi,1589,4.9
Regency Suites,Delhi,7129,3.2
Royal Palace,Delhi,9476,3.0
Inn Suites,Delhi,12261,3.1
Royal Residency,Delhi,5981,3.4
Resort Residency,Delhi,10105,4.0
Bay Heights,Mumbai,12251,2.8
Suites Oasis,Mumbai,11511,4.4
Heights Palace,Mumbai,14779,2.7
Grand Heights,Mumbai,13570,3.1
Palace Lounge,Mumbai,6509,2.7
Inn Lounge,Mumbai,3072,3.7
Regency Retreat,Chennai,4262,4.2
Royal Residency,Chennai,12542,4.2
Heights Oasis,Chennai,14375,2.6
Regency Oasis,Chennai,12488,4.6
Hotel Heights,Chennai,5156,3.5
Inn Lounge,Chennai,9478,3.6
Resort Palace,Chennai,10455,4.5
Palace Palace,Kolkata,3522,3.5
Royal Oasis,Kolkata,3753,4.8
Regency Oasis,Kolkata,11475,4.9
Heights Vista,Kolkata,8436,4.1
Palace Lounge,Kolkata,5444,3.3
Hotel Inn,Kolkata,2741,3.0
Grand Palace,Bengaluru,7542,3.2
Resort Suites,Bengaluru,9730,2.7
Resort Residency,Bengaluru,3651,4.0
Hotel Lounge,Bengaluru,1673,3.3
Inn Gardens,Bengaluru,13244,2.7
Suites Residency,Bengaluru,3604,4.8
Bay Inn,Bengaluru,7197,2.9
Plaza Residency,Bengaluru,6353,4.2
Hotel Retreat,Bengaluru,2112,4.9
Suites Gardens,Hyderabad,1538,2.9
Inn Inn,Hyderabad,10976,4.1
Bay Lounge,Hyderabad,3929,4.8
Royal Inn,Hyderabad,3017,3.9
Hotel Lounge,Hyderabad,2591,2.9
Royal Gardens,Hyderabad,3333,2.8
Grand Gardens,Hyderabad,6039,4.8
Grand Inn,Hyderabad,3817,4.9
Regency Gardens,Hyderabad,4900,3.0
Hotel Heights,Pune,10794,3.7
Hotel Heights,Pune,1947,3.1
Hotel Palace,Pune,3675,4.9
Hotel Suites,Pune,11956,3.9
Royal Inn,Pune,14440,3.2
Heights Oasis,Pune,11944,3.1
Regency Residency,Pune,6263,4.0
Suites Oasis,Pune,4053,3.5
Grand Retreat,Pune,14405,4.5
Suites Gardens,Ahmedabad,14234,4.9
Plaza Suites,Ahmedabad,3908,3.8
Regency Inn,Ahmedabad,8805,4.9
Grand Vista,Ahmedabad,10677,2.8
Royal Palace,Ahmedabad,10971,3.3
Plaza Inn,Ahmedabad,10385,4.8
Suites Retreat,Ahmedabad,4471,4.5
Royal Palace,Ahmedabad,11798,3.8
Regency Heights,Ahmedabad,3083,3.9
Inn Gardens,Ahmedabad,13773,3.3
Regency Heights,Jaipur,9714,4.1
Resort Residency,Jaipur,9764,3.0
Suites Heights,Jaipur,14185,4.3
Hotel Suites,Jaipur,7726,4.7
Palace Heights,Jaipur,13660,3.7
Regency Suites,Jaipur,12455,2.6
Grand Suites,Jaipur,6804,3.4
Royal Retreat,Jaipur,4373,4.6
Heights Residency,Lucknow,5184,2.9
Heights Gardens,Lucknow,10112,4.1
Inn Retreat,Lucknow,14870,4.4
Hotel Palace,Lucknow,12621,4.3
Plaza Suites,Lucknow,10389,3.5
Plaza Heights,Lucknow,4536,2.5
Regency Palace,Delhi,13319,4.4
Royal Inn,Delhi,13900,4.8
Plaza Inn,Delhi,11508,3.0
Grand Oasis,Delhi,5409,3.3
Bay Suites,Delhi,7691,2.9
Inn Palace,Delhi,13212,3.5
Palace Retreat,Delhi,1346,2.7
Bay Residency,Mumbai,11830,4.6
Royal Lounge,Mumbai,2430,4.1
Heights Inn,Mumbai,9671,4.7
Bay Gardens,Mumbai,1416,3.7
Grand Palace,Mumbai,11507,2.5
Resort Heights,Mumbai,4983,3.5
Resort Retreat,Chennai,12772,2.6
Heights Suites,Chennai,1632,3.2
Inn Heights,Chennai,10057,2.6
Grand Suites,Chennai,9135,3.1
Heights Suites,Chennai,9825,4.4
Inn Heights,Chennai,12606,2.7
Suites Lounge,Chennai,6535,5.0
Royal Vista,Kolkata,7582,5.0
Hotel Residency,Kolkata,2982,3.5
Royal Vista,Kolkata,6556,4.5
Inn Residency,Kolkata,10615,4.9
Plaza Inn,Kolkata,6137,4.0
Heights Lounge,Kolkata,11804,3.8
Heights Gardens,Bengaluru,14080,3.4
Royal Heights,Bengaluru,4348,3.8
Suites Gardens,Bengaluru,9171,3.1
Hotel Vista,Bengaluru,14499,4.0
Resort Palace,Bengaluru,1621,2.6
Bay Vista,Bengaluru,13123,4.6
Heights Vista,Bengaluru,3295,3.4
Resort Lounge,Bengaluru,13167,3.6
Heights Palace,Bengaluru,9286,4.6
Inn Retreat,Hyderabad,6571,5.0
Inn Oasis,Hyderabad,4504,4.7
Plaza Palace,Hyderabad,11949,3.0
Hotel Inn,Hyderabad,11350,2.7
Resort Retreat,Hyderabad,3555,4.8
Regency Gardens,Hyderabad,1456,3.3
Palace Suites,Hyderabad,3272,3.9
Palace Palace,Hyderabad,4204,4.0
Grand Vista,Hyderabad,4873,4.4
Resort Residency,Pune,6249,3.2
Royal Heights,Pune,2498,3.2
Regency Heights,Pune,13732,4.7
Plaza Vista,Pune,5547,3.8
Bay Retreat,Pune,8837,4.0
Regency Lounge,Pune,6723,3.3
Palace Vista,Pune,8919,4.0
Suites Suites,Pune,12002,4.5
Heights Vista,Pune,13105,2.6
Regency Inn,Ahmedabad,11039,3.5
Suites Heights,Ahmedabad,8080,3.7
Resort Vista,Ahmedabad,5811,4.1
Grand Suites,Ahmedabad,8124,3.5
Hotel Oasis,Ahmedabad,8558,4.3
Regency Lounge,Ahmedabad,7053,2.7
Resort Retreat,Ahmedabad,4128,4.0
Plaza Vista,Ahmedabad,11148,4.2
Heights Oasis,Ahmedabad,7974,3.6
Hotel Suites,Ahmedabad,12124,4.7
Hotel Gardens,Jaipur,13161,4.2
Bay Lounge,Jaipur,2068,4.8
Suites Vista,Jaipur,10964,4.5
Resort Heights,Jaipur,12215,2.8
Plaza Lounge,Jaipur,2675,4.8
Suites Suites,Jaipur,10165,4.7
Inn Heights,Jaipur,9995,3.7
Regency Lounge,Jaipur,3558,3.1
Palace Inn,Lucknow,8859,3.7
Resort Palace,Lucknow,6432,3.1
Regency Palace,Lucknow,9143,4.8
Bay Palace,Lucknow,12799,4.9
Resort Vista,Lucknow,3450,4.2
Inn Vista,Lucknow,4029,4.6
Heights Vista,Delhi,6766,2.8
Bay Lounge,Delhi,3280,3.1
Regency Palace,Delhi,2799,4.1
Suites Heights,Delhi,11973,3.5
Suites Heights,Delhi,9766,3.3
Inn Oasis,Delhi,11151,4.1
Bay Residency,Delhi,3588,4.1
Regency Oasis,Mumbai,11760,3.3
Palace Lounge,Mumbai,2183,3.0
Grand Inn,Mumbai,12022,2.7
Bay Vista,Mumbai,2566,3.3
Bay Gardens,Mumbai,2547,3.5
Royal Heights,Mumbai,11275,4.4
Inn Palace,Chennai,13356,2.8
Royal Residency,Chennai,13706,4.0
Hotel Residency,Chennai,8194,4.2
Plaza Suites,Chennai,7556,3.7
Suites Palace,Chennai,6193,4.1
Palace Vista,Chennai,3317,4.0
Bay Oasis,Chennai,847,4.2
Plaza Retreat,Kolkata,4897,4.3
Plaza Suites,Kolkata,12357,4.9
Grand Suites,Kolkata,4956,3.1
Royal Heights,Kolkata,9370,3.5
Palace Gardens,Kolkata,13621,4.1
Grand Heights,Kolkata,2860,2.9
Hotel Heights,Bengaluru,13487,4.5
Bay Residency,Bengaluru,12473,4.5
Plaza Residency,Bengaluru,6858,3.4
Bay Palace,Bengaluru,12435,2.8
Grand Gardens,Bengaluru,12465,3.7
Plaza Inn,Bengaluru,3184,2.7
Heights Oasis,Bengaluru,8613,5.0
Plaza Retreat,Bengaluru,9708,4.9
Grand Residency,Bengaluru,14152,4.1
Royal Residency,Hyderabad,4000,3.4
Inn Lounge,Hyderabad,6436,3.2
Palace Inn,Hyderabad,3986,4.9
Plaza Residency,Hyderabad,9524,4.4
Regency Residency,Hyderabad,3784,4.4
Royal Retreat,Hyderabad,11286,4.9
Suites Palace,Hyderabad,7441,4.6
Resort Oasis,Hyderabad,11332,2.6
Plaza Vista,Hyderabad,11268,4.9
Grand Palace,Pune,14961,2.8
Palace Oasis,Pune,4569,4.3
Heights Vista,Pune,9388,3.8
Suites Inn,Pune,2252,4.3
Bay Residency,Pune,9371,4.7
Hotel Retreat,Pune,10230,3.9
Inn Heights,Pune,5287,3.4
Heights Vista,Pune,8081,4.0
Heights Retreat,Pune,3433,2.9
Heights Oasis,Ahmedabad,7846,2.6
Royal Oasis,Ahmedabad,2772,4.6
Suites Lounge,Ahmedabad,8492,4.8
Plaza Oasis,Ahmedabad,6717,3.9
Regency Gardens,Ahmedabad,12512,3.7
Palace Lounge,Ahmedabad,12659,3.5
Royal Lounge,Ahmedabad,11344,3.1
Hotel Palace,Ahmedabad,5171,4.5
Grand Residency,Ahmedabad,10338,3.1
Resort Lounge,Ahmedabad,7901,3.9
Bay Oasis,Jaipur,9620,3.1
Plaza Palace,Jaipur,6412,4.5
Inn Palace,Jaipur,10653,3.3
Inn Inn,Jaipur,4847,5.0
Regency Palace,Jaipur,8212,3.6
Palace Inn,Jaipur,8904,4.2
Inn Oasis,Jaipur,13227,4.9
Heights Residency,Jaipur,7333,4.5
Plaza Retreat,Lucknow,13296,4.0
Inn Retreat,Lucknow,4101,2.7
Grand Oasis,Lucknow,3756,3.5
Heights Suites,Lucknow,12211,3.0
Suites Oasis,Lucknow,13860,3.0
Grand Residency,Lucknow,6643,4.2
Inn Residency,Delhi,10453,3.9
Bay Inn,Delhi,8899,3.1
Resort Vista,Delhi,10526,2.5
Heights Inn,Delhi,8861,4.3
Grand Suites,Delhi,11849,3.7
Inn Palace,Delhi,13001,4.9
Suites Suites,Delhi,7280,4.6
Hotel Gardens,Mumbai,12451,3.6
Resort Inn,Mumbai,13118,4.4
Royal Vista,Mumbai,7991,2.8
Plaza Inn,Mumbai,8265,2.6
Suites Heights,Mumbai,4570,4.7
Suites Residency,Mumbai,5505,3.8
Resort Oasis,Chennai,8624,3.0
Regency Lounge,Chennai,3708,4.7
Bay Gardens,Chennai,10248,4.0
Palace Oasis,Chennai,9805,3.8
Resort Residency,Chennai,9605,2.5
Inn Oasis,Chennai,858,4.3
Plaza Gardens,Chennai,14402,3.0
Plaza Suites,Kolkata,2044,3.6
Hotel Inn,Kolkata,12160,4.2
Bay Palace,Kolkata,10782,4.1
Grand Palace,Kolkata,9804,4.6
Suites Oasis,Kolkata,2889,4.3
Resort Inn,Kolkata,7892,4.9
Inn Palace,Bengaluru,14705,4.1
Inn Suites,Bengaluru,13142,2.6
Plaza Lounge,Bengaluru,4838,4.6
Regency Heights,Bengaluru,12611,3.3
Hotel Suites,Bengaluru,6695,3.1
Royal Lounge,Bengaluru,11135,4.5
Plaza Retreat,Bengaluru,13678,4.6
Palace Retreat,Bengaluru,2083,4.9
Bay Gardens,Bengaluru,5355,4.2
Resort Vista,Hyderabad,2046,4.7
Palace Oasis,Hyderabad,4926,3.3
Plaza Retreat,Hyderabad,6024,3.2
Suites Vista,Hyderabad,10778,3.9
Resort Palace,Hyderabad,6984,3.3
Suites Retreat,Hyderabad,12499,3.9
Bay Retreat,Hyderabad,11054,4.5
Suites Inn,Hyderabad,5813,3.8
